	BC 57 PE+	BC 59 PE+	BC 69 PE+	RCC 17 PE+
A1B61	1	1	1	1
A1B62	1	1	1	1
A1B63	1	1	1	1
A1B64	1	1	1	1
A1B65	1	1	1	1
A1B66	1	1	1	1
A1B67	1	1	1	1
A1B68	1	1	1	1
A1B69	1	1	1	1
A1B70	1	1	1	1
A1B71	1	1	1	1
A1B72	1	1	1	1
A1B73	1	1	1	1
A1B74	1	1	1	1
A1B75	1	1	1	1
A1B76	1	1	1	1
A1B77	1	1	1	1
A1B78	1	1	1	1
A1B79	1	1	1	1
A1B80	1	1	1	1
A1B81	1	1	1	1
A1B82	1	1	1	1
A1B83	1	1	1	1
A1B84	1	1	1	1
A2B61	1	1	1	1
A2B62	1	1	1	1
A2B63	1	1	1	1
A2B64	1	1	1	1
A2B65	1	1	1	1
A2B66	1	1	1	1
A2B67	1	1	1	1
A2B68	1	1	1	1
A2B69	1	1	1	1
A2B70	1	1	1	1
A2B71	1	1	1	1
A2B72	1	1	1	1
A2B73	1	1	1	1
A2B74	1	1	1	1
A2B75	1	1	1	1
A2B76	1	1	1	1
A2B77	1	1	1	1
A2B78	1	1	1	1
A2B79	1	1	1	1
A2B80	1	1	1	1
A2B81	1	1	1	1
A2B82	1	1	1	1
A2B83	1	1	1	1
A2B84	1	1	1	1
A3B61	1	1	1	1
A3B62	1	1	1	1
A3B63	1	1	1	1
A3B64	1	1	1	1
A3B65	1	1	1	1
A3B66	1	1	1	1
A3B67	1	1	1	1
A3B68	1	1	1	1
A3B69	1	1	1	1
A3B70	1	1	1	1
A3B71	0.0560538346967292	1	1	1
A3B72	1	1	1	1
A3B73	1	1	1	1
A3B74	1	1	1	1
A3B75	1	1	1	1
A3B76	1	1	1	1
A3B77	1	1	1	1
A3B78	1	1	1	1
A3B79	1	1	1	1
A3B80	1	1	1	1
A3B81	1	1	1	1
A3B82	1	1	1	1
A3B83	1	1	1	1
A3B84	1	1	1	1
A5B61	1	1	1	1
A5B62	1	1	1	1
A5B63	1	1	1	1
A5B64	1	1	1	1
A5B65	1	1	1	1
A5B66	1	1	1	1
A5B67	1	1	1	1
A5B68	1	1	1	1
A5B69	1	1	1	1
A5B70	1	1	1	1
A5B71	1	1	1	1
A5B72	1	1	1	1
A5B73	1	1	1	1
A5B74	1	1	1	1
A5B75	1	1	1	1
A5B76	1	1	1	1
A5B77	1	1	1	1
A5B78	1	1	1	1
A5B79	1	1	1	1
A5B80	1	1	1	1
A5B81	1	1	1	1
A5B82	1	1	1	1
A5B83	1	1	1	1
A5B84	1	1	1	1
A6B61	1	1	1	1
A6B62	1	1	1	1
A6B63	1	1	1	1
A6B64	1	1	1	1
A6B65	1	1	1	1
A6B66	0.0172203003143557	1	0.365002836074872	1
A6B67	1	1	1	1
A6B68	1	1	1	1
A6B69	1	1	1	1
A6B70	1	1	1	1
A6B71	1	1	1	1
A6B72	1	1	1	1
A6B73	1	1	1	1
A6B74	1	1	1	1
A6B75	1	1	1	1
A6B76	1	1	1	1
A6B77	1	1	1	1
A6B78	1	1	1	1
A6B79	1	1	1	1
A6B80	1	1	1	1
A6B81	1	1	1	1
A6B82	1	1	1	1
A6B83	1	1	1	1
A6B84	1	1	1	1
A7B61	1	1	1	1
A7B62	1	1	1	1
A7B63	1	1	1	1
A7B64	1	1	1	1
A7B65	1	1	1	1
A7B66	1	1	1	1
A7B67	1	1	1	1
A7B68	1	1	1	1
A7B69	1	1	1	1
A7B70	1	1	1	1
A7B71	1	1	1	1
A7B72	1	1	1	1
A7B73	1	1	1	1
A7B74	1	1	1	1
A7B75	1	1	1	1
A7B76	1	1	1	1
A7B77	1	1	1	1
A7B78	1	1	1	1
A7B79	1	1	1	1
A7B80	1	1	1	1
A7B81	1	1	1	1
A7B82	1	1	1	1
A7B83	1	1	1	1
A7B84	1	1	1	1
A8B61	1	1	1	1
A8B62	1	1	1	1
A8B63	1	1	1	1
A8B64	1	1	1	1
A8B65	1	1	1	1
A8B66	1	1	1	1
A8B67	1	1	1	1
A8B68	1	1	1	1
A8B69	1	1	1	1
A8B70	1	1	1	1
A8B71	1	1	1	1
A8B72	1	1	1	1
A8B73	1	1	1	1
A8B74	1	1	1	1
A8B75	1	1	1	1
A8B76	1	1	1	1
A8B77	1	1	1	1
A8B78	1	1	1	1
A8B79	1	1	1	1
A8B80	1	1	1	1
A8B81	1	1	1	1
A8B82	1	1	1	1
A8B83	1	1	1	1
A8B84	1	1	1	1
A9B61	1	1	1	1
A9B62	1	1	0.182501418037436	1
A9B63	1	1	1	1
A9B64	1	1	1	1
A9B65	1	1	1	1
A9B66	1	1	1	1
A9B67	1	1	1	1
A9B68	1	1	1	1
A9B69	1	1	1	1
A9B70	1	1	1	1
A9B71	1	1	1	1
A9B72	1	1	1	1
A9B73	1	1	1	1
A9B74	1	1	1	1
A9B75	1	1	1	1
A9B76	1	1	1	1
A9B77	1	1	1	1
A9B78	1	1	1	1
A9B79	1	1	1	1
A9B80	1	1	1	1
A9B81	1	1	1	1
A9B82	1	1	1	1
A9B83	1	1	1	1
A9B84	1	1	1	1
A10B61	1	1	1	1
A10B62	1	1	1	1
A10B63	1	1	1	1
A10B64	1	1	1	1
A10B65	1	1	1	1
A10B66	1	1	1	1
A10B67	1	1	1	1
A10B68	1	1	1	1
A10B69	1	1	1	1
A10B70	1	1	1	1
A10B71	1	1	1	1
A10B72	1	1	1	1
A10B73	1	1	1	1
A10B74	1	1	1	1
A10B75	1	1	1	1
A10B76	1	1	1	1
A10B77	1	1	1	1
A10B78	1	0.00000897114107296158	0.00267090372222659	1
A10B79	1	1	1	1
A10B80	1	1	1	1
A10B81	1	1	1	1
A10B82	1	1	1	1
A10B83	1	1	1	1
A10B84	1	1	1	1
A11B61	1	1	1	1
A11B62	1	1	1	1
A11B63	1	1	1	1
A11B64	1	1	1	1
