barcode	RCC 17 PE+	BC 57 PE+	BC 59 PE+	BC 69 PE+	input	Peptide	HLA	RCC.sample
A1B61	1	0	0	0	0	192	A0201	RCC 17
A1B62	1	1	1	0	0.666666666666667	193	A0201	RCC 17
A1B63	1	0	0	0	0.333333333333333	194	A0201	RCC 17
A1B64	0	1	0	1	0	195	A0201	RCC 17
A1B65	1	1	0	1	1.33333333333333	196	A0201	RCC 17
A1B66	0	0	1	1	1.33333333333333	197	A0201	RCC 17
A1B67	1	2	2	1	0.666666666666667	198	A0201	RCC 17
A1B68	1	0	0	1	0.666666666666667	199	A0201	RCC 17
A1B69	0	0	0	1	1.66666666666667	200	A0201	RCC 17
A1B70	0	0	0	0	0	201	A0201	RCC 17
A1B71	1	0	0	1	2.66666666666667	202	A0201	RCC 17
A1B72	0	0	0	0	0.666666666666667	203	A0201	RCC 17
A1B73	0	1	0	1	0.666666666666667	204	A0201	RCC 17
A1B74	1	0	0	0	0.333333333333333	205	A0201	RCC 17
A1B75	0	1	1	0	0	206	A0201	RCC 17
A1B76	0	0	1	0	1	207	A0201	RCC 17
A1B77	1	0	0	1	0.666666666666667	208	A0201	RCC 17
A1B78	1	1	0	0	1	209	A0201	RCC 17
A1B79	0	1	0	0	0.333333333333333	210	A0201	RCC 17
A1B80	0	0	0	0	0.333333333333333	211	A0201	RCC 17
A1B81	0	0	0	0	0	212	A0201	RCC 17
A1B82	1	0	2	0	1	213	A0201	RCC 17
A1B83	0	0	0	0	1.33333333333333	214	A0201	RCC 17
A1B84	0	2	0	1	2.33333333333333	215	A0201	RCC 17
A2B61	0	2	0	0	0.666666666666667	216	A0201	RCC 17
A2B62	0	0	0	0	0	217	A0201	RCC 17
A2B63	0	0	0	0	0.666666666666667	218	A0201	RCC 17
A2B64	1	0	0	0	0.666666666666667	219	A0201	RCC 17
A2B65	1	0	0	0	0.333333333333333	220	A0201	RCC 17
A2B66	0	1	0	0	0	221	A0201	RCC 17
A2B67	0	0	0	0	0.333333333333333	222	A0201	RCC 17
A2B68	0	1	0	1	0.333333333333333	223	A0201	RCC 17
A2B69	0	1	1	1	0.333333333333333	224	A0201	RCC 17
A2B70	0	1	3	0	0.333333333333333	225	A0201	RCC 17
A2B71	1	3	1	0	0.333333333333333	226	A0201	RCC 17
A2B72	0	0	1	0	0.666666666666667	227	A0201	RCC 17
A2B73	0	2	4	0	1	228	A0201	RCC 17
A2B74	1	0	0	0	0.666666666666667	229	A0201	RCC 17
A2B75	1	1	0	0	0	230	A0201	RCC 17
A2B76	1	0	0	0	0.333333333333333	231	A0201	RCC 17
A2B77	2	2	0	0	0.666666666666667	232	A0201	RCC 17
A2B78	0	0	0	0	0.333333333333333	233	A0201	RCC 17
A2B79	0	1	0	0	0.333333333333333	234	A0201	RCC 17
A2B80	1	0	0	0	0.666666666666667	235	A0201	RCC 17
A2B81	0	0	0	0	0.666666666666667	236	A0201	RCC 17
A2B82	0	0	0	0	0	237	A0201	RCC 17
A2B83	3	0	0	0	1	238	A0201	RCC 17
A2B84	1	0	0	0	1	239	A0201	RCC 17
A3B61	2	0	0	0	1.33333333333333	240	A0201	RCC 17
A3B62	0	0	0	0	1	241	A0201	RCC 17
A3B63	4	0	0	0	0.333333333333333	242	A0201	RCC 17
A3B64	0	1	0	2	0.666666666666667	243	A0201	RCC 17
A3B65	0	0	0	0	1	244	A0201	RCC 17
A3B66	1	0	0	0	0.333333333333333	245	A0201	RCC 17
A3B67	0	2	0	4	0.333333333333333	246	A0201	RCC 17
A3B68	0	0	0	1	0.333333333333333	247	A0201	RCC 17
A3B69	0	0	0	0	0	248	A0201	RCC 17
A3B70	0	1	1	1	0.666666666666667	249	A0201	RCC 17
A3B71	0	10	6	5	0.333333333333333	250	A0201	RCC 17
A3B72	0	0	0	0	0	251	A0201	RCC 17
A3B73	0	1	2	2	0	252	A0201	RCC 17
A3B74	1	0	1	0	0.333333333333333	253	A0201	RCC 17
A3B75	1	0	0	0	0.333333333333333	254	A0201	RCC 17
A3B76	0	2	0	0	0.333333333333333	255	A0201	RCC 17
A3B77	0	0	0	0	0.333333333333333	256	A0201	RCC 17
A3B78	0	0	1	0	0.333333333333333	257	A0201	RCC 17
A3B79	0	0	0	0	0.666666666666667	258	A0201	RCC 17
A3B80	0	0	1	0	0.333333333333333	259	A0201	RCC 17
A3B81	0	0	0	1	0	260	A0201	RCC 17
A3B82	1	0	0	0	0	261	A0201	RCC 17
A3B83	0	0	0	1	0.666666666666667	262	A0201	RCC 17
A3B84	1	0	0	0	0.333333333333333	263	A0201	RCC 17
A5B61	0	0	1	0	0.333333333333333	264	A0201	RCC 17
A5B62	1	2	0	0	0.333333333333333	265	A0201	RCC 17
A5B63	2	0	0	0	1	266	A0201	RCC 17
A5B64	0	0	0	1	0.333333333333333	267	A0201	RCC 17
A5B65	0	1	0	2	0	268	A0201	RCC 17
A5B66	0	0	0	1	0	269	A0201	RCC 17
A5B67	0	0	0	0	0	270	A0201	RCC 17
A5B68	0	0	0	0	0.333333333333333	271	A0201	RCC 17
A5B69	1	0	0	0	0	272	A0201	RCC 17
A5B70	1	0	1	0	0	273	A0201	RCC 17
A5B71	0	0	0	0	0.333333333333333	274	A0201	RCC 17
A5B72	0	0	0	0	0.666666666666667	275	A2402	RCC 17
A5B73	1	1	0	0	0	276	A2402	RCC 17
A5B74	0	0	0	1	0	277	A2402	RCC 17
A5B75	0	1	0	0	0	278	A2402	RCC 17
A5B76	1	0	0	0	0	279	A2402	RCC 17
A5B77	0	0	0	1	0	280	A2402	RCC 17
A5B78	0	0	0	0	0.333333333333333	281	A2402	RCC 17
A5B79	0	0	0	0	0.666666666666667	282	A2402	RCC 17
A5B80	0	0	0	0	0	283	A2402	RCC 17
A5B81	1	0	0	0	0	284	A2402	RCC 17
A5B82	2	0	0	0	0.666666666666667	285	A2402	RCC 17
A5B83	1	0	0	0	1.66666666666667	286	A2402	RCC 17
A5B84	1	0	0	2	0.666666666666667	287	A2402	RCC 17
A6B61	0	2	0	0	0.666666666666667	288	A2402	RCC 17
A6B62	1	0	0	0	0.333333333333333	289	A2402	RCC 17
A6B63	2	2	0	0	0.333333333333333	290	A2402	RCC 17
A6B64	1	0	0	0	0.333333333333333	291	A2402	RCC 17
A6B65	1	1	0	1	0	292	A2402	RCC 17
A6B66	0	12	0	6	0.333333333333333	224	A2402	RCC 17
A6B67	0	0	1	1	0	227	A2402	RCC 17
A6B68	0	0	0	0	0.333333333333333	295	A2402	RCC 17
A6B69	0	0	0	0	0	296	A2402	RCC 17
A6B70	0	0	0	0	0	297	A2402	RCC 17
A6B71	0	1	0	0	0.333333333333333	298	A2402	RCC 17
A6B72	1	1	0	0	0.333333333333333	299	A2402	RCC 17
A6B73	0	0	0	0	0.333333333333333	300	A2402	RCC 17
A6B74	0	0	0	0	0	301	A2402	RCC 17
A6B75	0	0	1	0	0.333333333333333	302	A2402	RCC 17
A6B76	0	0	0	1	0	303	A2402	RCC 17
A6B77	0	0	0	0	0	244	A2402	RCC 17
A6B78	0	0	0	0	0.333333333333333	305	A2402	RCC 17
A6B79	0	0	1	0	0.333333333333333	306	A2402	RCC 17
A6B80	0	0	0	0	0.666666666666667	307	A2402	RCC 17
