barcode	73	74	75	76	77	78	79	Peptide	HLA	RCC.sample
A19B61	0	1	0	0	1	1	1	1	A0201	RCC 19
A19B62	2	3	0	0	0	1	6	2	A0201	RCC 19
A19B63	1	1	1	1	2	1	1	3	A0201	RCC 19
A19B64	0	3	6	4	1	2	2	4	A0201	RCC 19
A19B65	0	1	0	0	2	1	0	5	A0201	RCC 19
A19B66	0	0	0	1	0	0	1	6	A0201	RCC 19
A19B67	1	16	14	18	0	1	0	7	A0201	RCC 19
A19B68	0	3	8	7	0	0	0	8	A0201	RCC 19
A19B69	0	26	0	7	0	2	1	9	A0201	RCC 19
A19B70	0	7	3	7	2	1	1	10	A0201	RCC 19
A19B71	0	4	0	1	1	1	0	11	A0201	RCC 19
A19B72	1	10	8	11	1	1	0	12	A0201	RCC 19
A19B73	0	4	1	1	1	1	0	13	A0201	RCC 19
A19B74	1	2	4	3	0	1	0	14	A0201	RCC 19
A19B75	0	2	0	1	0	0	0	15	A0201	RCC 19
A19B76	0	0	0	0	0	0	2	16	A0201	RCC 19
A19B77	0	0	0	0	1	1	0	17	A0201	RCC 19
A19B78	0	1	0	0	0	0	0	18	A0201	RCC 19
A19B79	0	0	0	0	0	0	1	19	A0201	RCC 19
A19B80	0	1	3	0	5	4	5	20	B0702	RCC 19
A19B81	4	0	2	1	2	1	1	21	B0702	RCC 19
A19B82	1	1	0	0	3	1	3	22	B0702	RCC 19
A19B83	0	2	0	0	2	5	2	23	B0702	RCC 19
A19B84	3	3	4	0	9	3	7	24	B0702	RCC 19
A20B61	0	0	2	0	1	1	3	25	B0702	RCC 19
A20B62	3	0	0	2	2	1	1	26	B0702	RCC 19
A20B63	7	2	3	0	2	5	3	27	B0702	RCC 19
A20B64	0	1	1	0	1	1	1	28	B0702	RCC 19
A20B65	1	1	0	0	0	2	0	29	B0702	RCC 19
A20B66	0	0	0	0	0	1	0	30	B0702	RCC 19
A20B67	0	1	0	2	0	1	1	31	B0702	RCC 19
A20B68	0	0	1	0	0	1	1	32	B0702	RCC 19
A20B69	0	0	0	1	1	0	0	33	B0702	RCC 19
A20B70	0	1	1	0	0	0	0	34	B0702	RCC 19
A20B71	1	1	0	2	0	1	0	35	B0702	RCC 19
A20B72	2	4	3	3	0	4	1	36	B0702	RCC 19
A20B73	0	3	0	0	0	0	1	37	B0702	RCC 19
A20B74	0	1	0	1	0	0	0	38	B0702	RCC 19
A20B75	0	0	2	0	0	0	0	39	B0702	RCC 19
A20B76	0	0	0	0	0	0	0	40	B0702	RCC 19
A20B77	2	0	0	0	1	1	0	41	B0702	RCC 19
A20B78	0	1	0	0	1	0	1	42	B0702	RCC 19
A20B79	1	0	0	0	2	0	1	43	B0702	RCC 19
A20B80	2	0	3	0	2	0	0	44	B0702	RCC 19
A20B81	0	0	1	0	0	1	2	45	B0702	RCC 19
A20B82	0	2	0	0	0	0	2	46	B0702	RCC 19
A20B83	0	0	1	0	2	0	0	47	B0702	RCC 19
A20B84	1	2	1	0	3	2	2	48	B0702	RCC 19
A21B61	2	0	1	1	1	3	1	49	B0702	RCC 19
A21B62	0	0	2	0	3	2	2	50	B0702	RCC 19
A21B63	1	1	1	0	4	1	2	51	B0702	RCC 19
A21B64	1	0	1	1	1	1	0	52	B0702	RCC 19
