barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A19B61	BC 71 PE+	0	1	0	1	-2.64977036993735	1	0	1	0	0	0.00660738847210037	1	A0201	RCC 19
A19B62	BC 71 PE+	0	0	1	5	-4.10879920591547	1	0	1	0	0	0.0231545197266413	2	A0201	RCC 19
A19B63	BC 71 PE+	0	2	1	1	-3.52874416095681	1	0	1	0	0	0.0133791852759017	3	A0201	RCC 19
A19B64	BC 71 PE+	4	0	1	2	1.89997612319988	1	0	1	0	0.0426544082772611	0.0116594640291712	4	A0201	RCC 19
A19B65	BC 71 PE+	0	2	1	0	-3.14892975977232	1	0	1	0	0	0.00954750004341168	5	A0201	RCC 19
A19B66	BC 71 PE+	0	0	0	1	-1.87214980009276	1	0	1	0	0	0.00383168523249005	6	A0201	RCC 19
A19B67	BC 71 PE+	10	0	0	0	6.37426031276711	0.00254050606575425	2.59507976382377	0.00254050606575425	2.59507976382377	0.106636020693153	0	7	A0201	RCC 19
A19B68	BC 71 PE+	3	0	0	0	4.6773140961527	1	0	1	0	0.0319908062079458	0	8	A0201	RCC 19
A19B69	BC 71 PE+	0	0	1	1	-2.66660459742182	1	0	1	0	0	0.00782777879668111	9	A0201	RCC 19
A19B70	BC 71 PE+	3	1	1	1	1.51380194422572	1	0	1	0	0.0319908062079458	0.0106034820362914	10	A0201	RCC 19
A19B71	BC 71 PE+	0	1	1	0	-2.65144729726074	1	0	1	0	0	0.00677179680380137	11	A0201	RCC 19
A19B72	BC 71 PE+	7	1	1	0	3.21567405154893	0.410838371017362	0.386329001435803	0.410838371017362	0.386329001435803	0.0746452144852069	0.00677179680380137	12	A0201	RCC 19
A19B73	BC 71 PE+	1	1	1	0	0.549483682020975	1	0	1	0	0.0106636020693153	0.00677179680380137	13	A0201	RCC 19
A19B74	BC 71 PE+	3	0	0	0	4.6773140961527	1	0	1	0	0.0319908062079458	0	14	A0201	RCC 19
A19B75	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	15	A0201	RCC 19
A19B76	BC 71 PE+	0	0	0	2	-2.66491240594483	1	0	1	0	0	0.00766337046498011	16	A0201	RCC 19
A19B77	BC 71 PE+	0	1	1	0	-2.65144729726074	1	0	1	0	0	0.00677179680380137	17	A0201	RCC 19
A19B78	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	18	A0201	RCC 19
A19B79	BC 71 PE+	0	0	0	1	-1.87214980009276	1	0	1	0	0	0.00383168523249005	19	A0201	RCC 19
A19B80	BC 71 PE+	3	5	2	4	-0.227634911333253	1	0	1	0	0.0319908062079458	0.0371974442563939	20	B0702	RCC 19
A19B81	BC 71 PE+	2	2	1	0	0.971342353382524	1	0	1	0	0.0213272041386305	0.00954750004341168	21	B0702	RCC 19
A19B82	BC 71 PE+	0	2	1	3	-4.08199322751059	1	0	1	0	0	0.0210425557408818	22	B0702	RCC 19
A19B83	BC 71 PE+	0	1	2	1	-3.54451590346714	1	0	1	0	0	0.0145995756004825	23	B0702	RCC 19
A19B84	BC 71 PE+	3	7	2	5	-0.556464395967012	1	0	1	0	0.0319908062079458	0.0465805359681046	24	B0702	RCC 19
A20B61	BC 71 PE+	2	0	1	1	1.45366751573303	1	0	1	0	0.0213272041386305	0.00782777879668111	25	B0702	RCC 19
A20B62	BC 71 PE+	0	1	1	1	-3.16351215192699	1	0	1	0	0	0.0106034820362914	26	B0702	RCC 19
A20B63	BC 71 PE+	2	2	4	3	-0.535740710047711	1	0	1	0	0.0213272041386305	0.033030836433455	27	B0702	RCC 19
A20B64	BC 71 PE+	1	0	1	1	0.534326381859893	1	0	1	0	0.0106636020693153	0.00782777879668111	28	B0702	RCC 19
A20B65	BC 71 PE+	0	0	1	0	-1.87387690782943	1	0	1	0	0	0.00399609356419106	29	B0702	RCC 19
A20B66	BC 71 PE+	0	0	1	0	-1.87387690782943	1	0	1	0	0	0.00399609356419106	30	B0702	RCC 19
A20B67	BC 71 PE+	0	0	1	1	-2.66660459742182	1	0	1	0	0	0.00782777879668111	31	B0702	RCC 19
A20B68	BC 71 PE+	1	0	1	1	0.534326381859893	1	0	1	0	0.0106636020693153	0.00782777879668111	32	B0702	RCC 19
A20B69	BC 71 PE+	0	1	0	0	-1.85652871446073	1	0	1	0	0	0.00277570323961031	33	B0702	RCC 19
A20B70	BC 71 PE+	1	0	0	0	3.20093097928171	1	0	1	0	0.0106636020693153	0	34	B0702	RCC 19
A20B71	BC 71 PE+	0	0	1	0	-1.87387690782943	1	0	1	0	0	0.00399609356419106	35	B0702	RCC 19
A20B72	BC 71 PE+	3	0	3	1	1.11690025917336	1	0	1	0	0.0319908062079458	0.0158199659250632	36	B0702	RCC 19
A20B73	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	37	B0702	RCC 19
A20B74	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	38	B0702	RCC 19
