barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A19B61	BC 71 PE+	0	1	0	1	-3.21559264621629	1	0	1	0	0	0.0403354789951975	1	A0201	RCC 19
A19B62	BC 71 PE+	0	0	1	5	-4.66198744476074	1	0	1	0	0	0.107848324329085	2	A0201	RCC 19
A19B63	BC 71 PE+	0	2	1	1	-4.14791142153356	1	0	1	0	0	0.0872500143186486	3	A0201	RCC 19
A19B64	BC 71 PE+	4	0	1	2	0.298902016310981	1	0	1	0	0.0771164159991125	0.0572136903286694	4	A0201	RCC 19
A19B65	BC 71 PE+	0	2	1	0	-3.76904711376671	1	0	1	0	0	0.0703718029851767	5	A0201	RCC 19
A19B66	BC 71 PE+	0	0	0	1	-2.35624641829079	1	0	1	0	0	0.0168782113334719	6	A0201	RCC 19
A19B67	BC 71 PE+	10	0	0	0	5.30645957231361	0.0958593306863301	1.01836560768565	0.0958593306863301	1.01836560768565	0.192791039997781	0	7	A0201	RCC 19
A19B68	BC 71 PE+	3	0	0	0	3.65214499762457	1	0	1	0	0.0578373119993344	0	8	A0201	RCC 19
A19B69	BC 71 PE+	0	0	1	1	-3.21559264621629	1	0	1	0	0	0.0403354789951975	9	A0201	RCC 19
A19B70	BC 71 PE+	3	1	1	1	-0.101969504655558	1	0	1	0	0.0578373119993344	0.063792746656923	10	A0201	RCC 19
A19B71	BC 71 PE+	0	1	1	0	-3.23097946822539	1	0	1	0	0	0.0469145353234511	11	A0201	RCC 19
A19B72	BC 71 PE+	7	1	1	0	1.57644700722715	1	0	1	0	0.134953727998447	0.0469145353234511	12	A0201	RCC 19
A19B73	BC 71 PE+	1	1	1	0	-0.950812622449546	1	0	1	0	0.0192791039997781	0.0469145353234511	13	A0201	RCC 19
A19B74	BC 71 PE+	3	0	0	0	3.65214499762457	1	0	1	0	0.0578373119993344	0	14	A0201	RCC 19
A19B75	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	15	A0201	RCC 19
A19B76	BC 71 PE+	0	0	0	2	-3.20034408365474	1	0	1	0	0	0.0337564226669438	16	A0201	RCC 19
A19B77	BC 71 PE+	0	1	1	0	-3.23097946822539	1	0	1	0	0	0.0469145353234511	17	A0201	RCC 19
A19B78	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	18	A0201	RCC 19
A19B79	BC 71 PE+	0	0	0	1	-2.35624641829079	1	0	1	0	0	0.0168782113334719	19	A0201	RCC 19
A19B80	BC 71 PE+	3	5	2	4	-0.0198878941433951	1	0	1	0	0.0851861438022376	0.0847657469092995	20	B0702	RCC 19
A19B81	BC 71 PE+	2	2	1	0	1.1564804869853	1	0	1	0	0.056790762534825	0.0242485585084046	21	B0702	RCC 19
A19B82	BC 71 PE+	0	2	1	3	-4.02329910736703	1	0	1	0	0	0.0459062441455472	22	B0702	RCC 19
A19B83	BC 71 PE+	0	1	2	1	-3.49829468067186	1	0	1	0	0	0.0335411984336228	23	B0702	RCC 19
A19B84	BC 71 PE+	3	7	2	5	-0.351216773838965	1	0	1	0	0.0851861438022376	0.106768406874281	24	B0702	RCC 19
A20B61	BC 71 PE+	2	0	1	1	1.65907355650654	1	0	1	0	0.056790762534825	0.0166843556348517	25	B0702	RCC 19
A20B62	BC 71 PE+	0	1	1	1	-3.1179160275749	1	0	1	0	0	0.0240760713444853	26	B0702	RCC 19
A20B63	BC 71 PE+	2	2	4	3	-0.32363372571242	1	0	1	0	0.056790762534825	0.0743016254129597	27	B0702	RCC 19
A20B64	BC 71 PE+	1	0	1	1	0.73170868578703	1	0	1	0	0.0283953812674125	0.0166843556348517	28	B0702	RCC 19
A20B65	BC 71 PE+	0	0	1	0	-1.83885700723253	1	0	1	0	0	0.00946512708913751	29	B0702	RCC 19
A20B66	BC 71 PE+	0	0	1	0	-1.83885700723253	1	0	1	0	0	0.00946512708913751	30	B0702	RCC 19
A20B67	BC 71 PE+	0	0	1	1	-2.61641160935993	1	0	1	0	0	0.0166843556348517	31	B0702	RCC 19
A20B68	BC 71 PE+	1	0	1	1	0.73170868578703	1	0	1	0	0.0283953812674125	0.0166843556348517	32	B0702	RCC 19
A20B69	BC 71 PE+	0	1	0	0	-1.82801720711433	1	0	1	0	0	0.00739171570963352	33	B0702	RCC 19
A20B70	BC 71 PE+	1	0	0	0	3.34812029514696	1	0	1	0	0.0283953812674125	0	34	B0702	RCC 19
A20B71	BC 71 PE+	0	0	1	0	-1.83885700723253	1	0	1	0	0	0.00946512708913751	35	B0702	RCC 19
A20B72	BC 71 PE+	3	0	3	1	1.32706206095717	1	0	1	0	0.0851861438022376	0.0356146098131267	36	B0702	RCC 19
A20B73	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	37	B0702	RCC 19
A20B74	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	38	B0702	RCC 19
A20B75	BC 71 PE+	2	0	0	0	4.27548516586647	1	0	1	0	0.056790762534825	0	39	B0702	RCC 19
A20B76	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	40	B0702	RCC 19
A20B77	BC 71 PE+	0	1	1	0	-2.61754044600763	1	0	1	0	0	0.016856842798771	41	B0702	RCC 19
A20B78	BC 71 PE+	0	1	0	1	-2.60589717358215	1	0	1	0	0	0.0146109442553477	42	B0702	RCC 19
A20B79	BC 71 PE+	0	2	0	1	-3.10769925159227	1	0	1	0	0	0.0220026599649813	43	B0702	RCC 19
A20B80	BC 71 PE+	1	2	0	0	0.741101254522928	1	0	1	0	0.0283953812674125	0.014783431419267	44	B0702	RCC 19
A20B81	BC 71 PE+	1	0	1	2	0.231292287809134	1	0	1	0	0.0283953812674125	0.0239035841805659	45	B0702	RCC 19
A20B82	BC 71 PE+	0	0	0	2	-2.60477603257589	1	0	1	0	0	0.0144384570914284	46	B0702	RCC 19
A20B83	BC 71 PE+	1	2	0	0	0.741101254522928	1	0	1	0	0.0283953812674125	0.014783431419267	47	B0702	RCC 19
A20B84	BC 71 PE+	1	3	2	2	-0.893042571067661	1	0	1	0	0.0283953812674125	0.055543858398604	48	B0702	RCC 19
A21B61	BC 71 PE+	1	1	3	1	-0.453353404960536	1	0	1	0	0.0283953812674125	0.0430063255227603	49	B0702	RCC 19
A21B62	BC 71 PE+	2	2	2	2	0.241740071085988	1	0	1	0	0.056790762534825	0.0481521426889705	50	B0702	RCC 19
A21B63	BC 71 PE+	1	4	1	2	-0.883819448030948	1	0	1	0	0.0283953812674125	0.0534704470191	51	B0702	RCC 19
A21B64	BC 71 PE+	1	0	1	0	1.50926328791444	1	0	1	0	0.0283953812674125	0.00946512708913751	52	B0702	RCC 19
A21B65	BC 71 PE+	1	1	0	0	1.52010308803264	1	0	1	0	0.0283953812674125	0.00739171570963352	53	B0702	RCC 19
A21B66	BC 71 PE+	0	0	1	2	-3.11682800733783	1	0	1	0	0	0.0239035841805659	54	B0702	RCC 19
A21B67	BC 71 PE+	0	1	0	0	-1.82801720711433	1	0	1	0	0	0.00739171570963352	55	B0702	RCC 19
A21B68	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	56	B0702	RCC 19
A21B69	BC 71 PE+	2	1	0	1	1.66958799228432	1	0	1	0	0.056790762534825	0.0146109442553477	57	B0702	RCC 19
A21B70	BC 71 PE+	0	0	1	0	-1.95295238432991	1	0	1	0	0	0.0315921671500493	81	C0401	RCC 19
A21B71	BC 71 PE+	0	1	0	1	-2.72885690541953	1	0	1	0	0	0.0421343087356026	82	C0401	RCC 19
A21B72	BC 71 PE+	0	0	0	1	-1.94618409632375	1	0	1	0	0	0.026338225160578	83	C0401	RCC 19
