barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A19B61	RCC 19 PE+	0	1	0	1	-2.62486346502342	1	0	1	0	0	0.0376442845697994	1	A0201	RCC 19
A19B62	RCC 19 PE+	2	0	1	5	0.20012946061855	1	0	1	0	0.131353153266347	0.100652654004766	2	A0201	RCC 19
A19B63	RCC 19 PE+	1	2	1	1	-0.225300201822516	1	0	1	0	0.0656765766331736	0.0814286689919152	3	A0201	RCC 19
A19B64	RCC 19 PE+	0	0	1	2	-3.1212381778899	1	0	1	0	0	0.053396376928541	4	A0201	RCC 19
A19B65	RCC 19 PE+	0	2	1	0	-3.15084191695362	1	0	1	0	0	0.0656765766331736	5	A0201	RCC 19
A19B66	RCC 19 PE+	0	0	0	1	-1.83469408669583	1	0	1	0	0	0.0157520923587415	6	A0201	RCC 19
A19B67	RCC 19 PE+	1	0	0	0	3.28977422653608	1	0	1	0	0.0656765766331736	0	7	A0201	RCC 19
A19B68	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	8	A0201	RCC 19
A19B69	RCC 19 PE+	0	0	1	1	-2.62486346502342	1	0	1	0	0	0.0376442845697994	9	A0201	RCC 19
A19B70	RCC 19 PE+	0	1	1	1	-3.13598080345502	1	0	1	0	0	0.0595364767808573	10	A0201	RCC 19
A19B71	RCC 19 PE+	0	1	1	0	-2.64017491784604	1	0	1	0	0	0.0437843844221157	11	A0201	RCC 19
A19B72	RCC 19 PE+	1	1	1	0	0.649599308690034	1	0	1	0	0.0656765766331736	0.0437843844221157	12	A0201	RCC 19
A19B73	RCC 19 PE+	0	1	1	0	-2.64017491784604	1	0	1	0	0	0.0437843844221157	13	A0201	RCC 19
A19B74	RCC 19 PE+	1	0	0	0	3.28977422653608	1	0	1	0	0.0656765766331736	0	14	A0201	RCC 19
A19B75	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	15	A0201	RCC 19
A19B76	RCC 19 PE+	0	0	0	2	-2.60968749762583	1	0	1	0	0	0.0315041847174831	16	A0201	RCC 19
A19B77	RCC 19 PE+	0	1	1	0	-2.64017491784604	1	0	1	0	0	0.0437843844221157	17	A0201	RCC 19
A19B78	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	18	A0201	RCC 19
A19B79	RCC 19 PE+	0	0	0	1	-1.83469408669583	1	0	1	0	0	0.0157520923587415	19	A0201	RCC 19
A19B80	RCC 19 PE+	0	5	2	4	-5.03165456977227	1	0	1	0	0	0.0922369117001152	20	B0702	RCC 19
A19B81	RCC 19 PE+	3	2	1	0	1.06724953522988	1	0	1	0	0.0572866573796185	0.0249672852213286	21	B0702	RCC 19
A19B82	RCC 19 PE+	1	2	1	3	-1.3109384048154	1	0	1	0	0.0190955524598728	0.0513255651745335	22	B0702	RCC 19
A19B83	RCC 19 PE+	0	1	2	1	-3.66986694946032	1	0	1	0	0	0.0372467598008378	23	B0702	RCC 19
A19B84	RCC 19 PE+	3	7	2	5	-1.0193977386146	1	0	1	0	0.0572866573796185	0.115338940990886	24	B0702	RCC 19
A20B61	RCC 19 PE+	0	0	1	1	-2.77897193771808	1	0	1	0	0	0.0194374425660273	25	B0702	RCC 19
A20B62	RCC 19 PE+	1	1	1	1	-0.391452076906957	1	0	1	0	0.0190955524598728	0.0265954105525455	26	B0702	RCC 19
A20B63	RCC 19 PE+	7	2	4	3	0.736584711619461	1	0	1	0	0.13366886721911	0.0832796129194106	27	B0702	RCC 19
A20B64	RCC 19 PE+	0	0	1	1	-2.77897193771808	1	0	1	0	0	0.0194374425660273	28	B0702	RCC 19
A20B65	RCC 19 PE+	1	0	1	0	0.91682728385885	1	0	1	0	0.0190955524598728	0.0106513492482924	29	B0702	RCC 19
A20B66	RCC 19 PE+	0	0	1	0	-1.97509733457889	1	0	1	0	0	0.0106513492482924	30	B0702	RCC 19
A20B67	RCC 19 PE+	0	0	1	1	-2.77897193771808	1	0	1	0	0	0.0194374425660273	31	B0702	RCC 19
A20B68	RCC 19 PE+	0	0	1	1	-2.77897193771808	1	0	1	0	0	0.0194374425660273	32	B0702	RCC 19
A20B69	RCC 19 PE+	0	1	0	0	-1.95686785866402	1	0	1	0	0	0.00715796798651812	33	B0702	RCC 19
A20B70	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	34	B0702	RCC 19
A20B71	RCC 19 PE+	1	0	1	0	0.91682728385885	1	0	1	0	0.0190955524598728	0.0106513492482924	35	B0702	RCC 19
A20B72	RCC 19 PE+	0	0	3	1	-3.68669190148687	1	0	1	0	0	0.0407401410626121	36	B0702	RCC 19
A20B73	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	37	B0702	RCC 19
A20B74	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	38	B0702	RCC 19
A20B75	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	39	B0702	RCC 19
A20B76	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	40	B0702	RCC 19
A20B77	RCC 19 PE+	2	1	1	0	1.02223448096456	1	0	1	0	0.0381911049197457	0.0178093172348105	41	B0702	RCC 19
A20B78	RCC 19 PE+	0	1	0	1	-2.76128261453079	1	0	1	0	0	0.0159440613042531	42	B0702	RCC 19
A20B79	RCC 19 PE+	0	2	0	1	-3.26628844851228	1	0	1	0	0	0.0231020292907712	43	B0702	RCC 19
A20B80	RCC 19 PE+	2	2	0	0	1.03982210702131	1	0	1	0	0.0381911049197457	0.0143159359730362	44	B0702	RCC 19
A20B81	RCC 19 PE+	0	0	1	2	-3.29293377166791	1	0	1	0	0	0.0282235358837623	45	B0702	RCC 19
A20B82	RCC 19 PE+	0	0	0	2	-2.77112909595185	1	0	1	0	0	0.01757218663547	46	B0702	RCC 19
A20B83	RCC 19 PE+	0	2	0	0	-2.75149187519761	1	0	1	0	0	0.0143159359730362	47	B0702	RCC 19
A20B84	RCC 19 PE+	1	3	2	2	-1.52216920515694	1	0	1	0	0.0190955524598728	0.060348789091609	48	B0702	RCC 19
A21B61	RCC 19 PE+	2	1	3	1	-0.186051971978559	1	0	1	0	0.0381911049197457	0.0478981090491302	49	B0702	RCC 19
A21B62	RCC 19 PE+	0	2	2	2	-4.20998522063454	1	0	1	0	0	0.0531908211050909	50	B0702	RCC 19
A21B63	RCC 19 PE+	1	4	1	2	-1.50690267075081	1	0	1	0	0.0190955524598728	0.0568554078298348	51	B0702	RCC 19
A21B64	RCC 19 PE+	1	0	1	0	0.91682728385885	1	0	1	0	0.0190955524598728	0.0106513492482924	52	B0702	RCC 19
A21B65	RCC 19 PE+	2	1	0	0	1.8344461235549	1	0	1	0	0.0381911049197457	0.00715796798651812	53	B0702	RCC 19
A21B66	RCC 19 PE+	0	0	1	2	-3.29293377166791	1	0	1	0	0	0.0282235358837623	54	B0702	RCC 19
A21B67	RCC 19 PE+	1	1	0	0	0.935056759773716	1	0	1	0	0.0190955524598728	0.00715796798651812	55	B0702	RCC 19
A21B68	RCC 19 PE+	3	0	0	0	4.34111758554692	1	0	1	0	0.0572866573796185	0	56	B0702	RCC 19
A21B69	RCC 19 PE+	0	1	0	1	-2.76128261453079	1	0	1	0	0	0.0159440613042531	57	B0702	RCC 19
A21B70	RCC 19 PE+	1	0	1	0	1.91241805394252	1	0	1	0	0.0891376552139813	0.0297125517379938	81	C0401	RCC 19
A21B71	RCC 19 PE+	1	1	0	1	1.17525908652472	1	0	1	0	0.0891376552139813	0.0297125517379938	82	C0401	RCC 19
A21B72	RCC 19 PE+	0	0	0	1	-1.75996378367875	1	0	1	0	0	0.0148562758689969	83	C0401	RCC 19
A21B73	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	84	C0401	RCC 19
A21B74	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	85	C0401	RCC 19
A21B75	RCC 19 PE+	0	0	1	1	-2.55249928012477	1	0	1	0	0	0.0445688276069906	86	C0401	RCC 19
A21B76	RCC 19 PE+	1	0	0	0	3.70043971814109	1	0	1	0	0.0891376552139813	0	87	C0401	RCC 19
A21B77	RCC 19 PE+	2	1	0	0	2.88389240609598	1	0	1	0	0.178275310427963	0.0148562758689969	88	C0401	RCC 19
A21B78	RCC 19 PE+	0	1	0	0	-1.75996378367875	1	0	1	0	0	0.0148562758689969	89	C0401	RCC 19
A21B79	RCC 19 PE+	1	2	0	6	-0.597773724029675	1	0	1	0	0.0891376552139813	0.118850206951975	90	C0401	RCC 19
A21B80	RCC 19 PE+	1	5	1	2	-0.621488376746178	1	0	1	0	0.0891376552139813	0.133706482820972	48	C0401	RCC 19
A21B81	RCC 19 PE+	2	4	2	2	0.297949602005538	1	0	1	0	0.178275310427963	0.148562758689969	92	C0401	RCC 19
A21B82	RCC 19 PE+	0	1	0	1	-2.52518063161637	1	0	1	0	0	0.0297125517379938	93	C0401	RCC 19
A21B83	RCC 19 PE+	0	1	1	2	-3.41121770088746	1	0	1	0	0	0.0742813793449844	94	C0401	RCC 19
A21B84	RCC 19 PE+	2	2	0	1	1.62415769568964	1	0	1	0	0.178275310427963	0.0445688276069906	95	C0401	RCC 19
A22B61	RCC 19 PE+	2	0	1	2	1.5975318337458	1	0	1	0	0.178275310427963	0.0594251034759875	96	C0401	RCC 19
A22B62	RCC 19 PE+	2	2	0	1	1.62415769568964	1	0	1	0	0.178275310427963	0.0445688276069906	97	C0401	RCC 19
A22B63	RCC 19 PE+	1	2	1	0	0.654115362112171	1	0	1	0	0.0891376552139813	0.0594251034759875	98	C0401	RCC 19
A22B64	RCC 19 PE+	0	0	1	0	-1.78802166419857	1	0	1	0	0	0.0297125517379938	15	C0401	RCC 19
A22B65	RCC 19 PE+	0	1	0	0	-1.7724514310962	1	0	1	0	0	0.0128570871039696	93	C0702	RCC 19
A22B66	RCC 19 PE+	1	2	0	1	0.532119589593029	1	0	1	0	0.0771425226238178	0.047048217723873	81	C0702	RCC 19
A22B67	RCC 19 PE+	3	0	0	2	2.49958491569922	1	0	1	0	0.231427567871453	0.0426680870318675	94	C0702	RCC 19
A22B68	RCC 19 PE+	1	0	0	0	3.57896943533461	1	0	1	0	0.0771425226238178	0	90	C0702	RCC 19
A22B69	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	104	C0702	RCC 19
A22B70	RCC 19 PE+	0	0	0	0	0	1	0	1	0	0	0	105	C0702	RCC 19
A22B71	RCC 19 PE+	0	0	1	1	-2.5795233944025	1	0	1	0	0	0.0415843674922839	106	C0702	RCC 19
