	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A1B224	0.0673488540420321	0.949228067318899	-3.07731091957273	-3.14681047107122	-3.17131174099481	1.58973289156595	0.496010611148105	-3.15916123344899	-3.21208337494789	-3.13082095917358	-3.13037442094379	-3.00112464763967	-0.0426100408114861	-3.35668428651463	-0.0784568631664971	0.715304128679798	-3.08566196367464	1.4992055763275	-3.14226176668647	-3.14859070032333
A1B225	-0.32194236245107	-4.47138026307988	-4.37903519219367	-4.45395255708073	0.562146794285193	-4.45109367964706	0.696357155287037	-1.26193982598706	-0.0115914743292179	2.7173741416733	-1.13613810267233	-0.391830843221877	0.116929855812344	5.84043743057128	0.478081657886586	0.666896240153055	0.981019201092097	-4.47310094616099	-4.44905779453638	-4.45586790401028
A1B226	0	0	0	3.24475354242268	5.83091481338995	3.25347566917962	3.56089195948212	0	-0.00000000000000128137060152597	0	0	0	4.05335192835602	2.74539708841546	-0.00000000000000128137060152597	3.02853093419394	3.47016853081982	0.00000000000000128137060152597	0	0
A1B227	-1.86147904298103	1.3252466435256	-1.79842496368989	-1.85486135399237	1.2932598859817	-1.85269450474812	-1.78838589322814	1.34035344702562	-1.9098530181866	-1.84183210051065	-1.84146861746595	-1.73715522093524	-1.88379418214904	-2.02828006480884	-1.8914370308682	-1.91648423418215	-1.8051792276262	-1.86940135758714	-1.85115206581029	-1.85631364768185
A1B228	-0.849748086901909	-4.07815348549939	-3.98721793333663	-4.0609850318633	-4.08693954846353	-4.05816897805782	-3.97400185318724	-4.07407162402638	-4.13261962859307	-4.04403293123153	-0.743436936556838	-3.90609545197114	-0.0456937463460795	-4.28250149242509	-0.997704263715546	-4.1405521556571	-0.525924846507286	-4.07984873886637	-4.05616363982669	-4.06287173519995
A1B229	0.0668257879882525	-3.16224416450749	0.42907555874461	0.098713664250222	-3.17054098300366	0.11009266114032	-3.06411133327086	-3.15839055689937	-0.161957411887133	0.168521882527353	-3.12960394073948	-3.00035511133588	-3.18086367842336	-3.35591238405971	-3.19018663993774	-3.2212284619505	-3.08489179818177	0.943194116241469	-3.14149120481815	1.01263413567976
A1B230	-2.6471247113527	-2.65443026625559	-2.57339132129905	-2.63908792163266	-2.66228929511147	-2.63657325295901	-2.56166031963551	-2.65078081046159	0.347578524328535	-2.62395806121049	-2.62353566006106	-2.50157748707824	-2.67296939164446	-2.83847757735303	-2.68180664141933	-2.71035341115894	-2.58127619924202	-2.65594625684285	-2.63478285434444	0.598183761347785
A1B231	-3.52784597071029	-3.53634600270943	-3.44810372143239	-3.51967349719268	-3.54488046976515	-3.51693933971554	-3.43529295211518	-3.53238153586347	-3.58854331443183	-3.50321674959274	0.722207895561233	-3.36952678565968	-3.55591039667316	-3.73521130488546	-0.45429026667402	-0.568458748223066	-3.4567089864974	-3.53799259519953	-3.51499241530796	-3.5215054182851
A1B232	2.83737789874039	1.32442749682609	-1.79924343594024	-1.85568037692255	-1.87569735501316	2.32226725611425	1.77168769599456	-1.86576289131112	-1.90929632996789	-1.84265099962853	2.38267746870279	2.16677291553419	-1.88323765428008	-2.02910056712229	-1.89088045545744	2.01999986213946	-1.80599776779149	-1.87022051642019	-1.85197105368973	1.38182407334107
A1B233	1.1699464492486	-3.53685785912084	-3.44861518259685	-3.52018528107468	-3.54539236292752	-0.263975442430138	-3.43580435350643	-3.53289337511689	-3.58905170137502	-3.50372846091879	-3.50326879552895	0.534708095871287	0.496933278554449	-3.73572395560345	-0.454798559477613	-3.59750179457535	-3.45722048746384	-0.35008400132472	-3.51550417864981	-3.52201721018426
A1B234	2.05063663551164	-2.65631170959087	0.930345132853151	-2.64096908520126	1.42139980634535	0.615021298891937	4.46566299132132	-2.65266218761324	0.34703903278902	-2.62583894491389	0.674705875692599	-2.50345595305676	1.37984319573376	-0.0949649963944744	1.89798933938545	-2.7122358410143	0.88701225925839	-2.65782772760457	-2.63666393868452	-2.64265419077912
A1B235	-1.86147904298103	-1.86809288868343	-1.79842496368989	1.38989218843031	3.16756644228323	1.4007811644315	3.99316369754852	1.34035344702562	3.0039167822134	-1.84183210051065	-1.84146861746595	-1.73715522093524	1.25393626457826	2.15101022908221	1.21976951302071	2.02081944528234	-1.8051792276262	-1.86940135758714	-1.85115206581029	-1.85631364768185
