	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A1B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B225	1	1	1	1	1	1	1	1	1	0.0508087166175201	1	1	1	0.00000000000000000136549367414725	1	1	1	1	1	1
A1B226	1	1	1	1	0.0312050441030194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B234	1	1	1	1	1	1	0.0013356915915681	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B235	1	1	1	1	1	1	0.352616998364119	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B229	1	1	1	1	1	1	1	1	1	1	1	1	0.900806834361652	1	1	1	1	1	1	1
A2B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00000000000000000000267043376430982
A2B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B225	1	1	1	1	1	1	1	0.000000000000000000000504826281683893	1	1	1	1	0.900806834361652	1	1	1	1	1	1	1
A3B226	1	1	1	0.0000000335652039220555	1	1	1	0.00000000000000106308798811625	1	1	1	1	1	1	1	1	1	1	1	1
A3B227	1	1	1	1	1	1	1	0.0000000413561133052841	1	1	1	1	1	1	1	1	1	1	1	1
A3B228	1	1	1	1	1	1	1	0.0000000180744633609927	1	1	1	1	1	1	1	1	1	1	1	1
A3B229	1	1	1	1	1	1	1	1	1	1	0.000154467000770483	1	1	1	1	1	1	1	1	1
A3B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B231	1	1	1	1	1	1	1	1	1	1	0.000154467000770483	1	1	1	1	1	1	1	1	1
A3B232	1	1	0.00152437814708324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3B234	1	1	1	1	1	1	1	1	1	1	1	1	0.269143505388542	1	1	0.38568219671769	1	0.182710072385043	1	1
A3B235	1	1	0.00000000493247806799893	1	1	1	1	1	1	1	0.0627225138705526	1	1	1	1	1	1	1	1	1
A5B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B225	1	1	0.0342011013578232	1	1	1	1	0.000111479938849084	1	1	0.000139349923561355	1	1	1	1	1	1	1	1	0.380761156899239
A5B226	1	1	1	1	1	1	1	1	1	1	0.000000669611584007783	1	1	1	1	1	1	1	1	0.215314804310834
A5B227	1	1	1	0.152109346548196	1	1	1	0.000326373346550723	1	1	1	1	1	1	1	1	1	1	1	0.00938727258963944
A5B228	1	1	1	1	1	1	1	1	1	1	1	1	0.900806834361652	1	1	1	1	1	1	1
A5B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A5B234	1	1	1	1	1	1	1	1	0.341263673807489	1	1	1	1	1	1	0.38568219671769	1	1	1	1
A5B235	1	1	0.96033760347438	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
